fitness,speed,distance
583.94,30.0,24.987548273150068
707.5,24.829102062888182,24.782339794984825
598.19,30.0,17.105178826443687
653.36,27.468239939411127,27.402764382608268
826.96,30.0,22.804341867811942
708.13,30.0,22.25397160452598
750.18,30.0,21.04636354979688
629.99,27.468239939411127,27.95313464589423
741.23,30.0,21.04636354979688
509.59,24.829102062888182,24.782339794984825
836.12,30.0,25.792346556549973
706.75,27.468239939411127,26.999954611279072
642.03,30.0,25.792346556549973
676.18,27.468239939411127,24.621027870864605
755.46,30.0,25.792346556549973
608.08,30.0,24.023159080537976
900.37,27.468239939411127,27.95313464589423
840.24,30.0,24.023159080537976
754.44,30.0,25.20668721370729
761.57,30.0,21.04636354979688
690.47,27.64736742902966,21.991076817551892
801.95,30.0,25.287343175767397
553.02,30.0,25.287343175767397
532.81,24.829102062888182,24.782339794984825
626.73,30.0,23.419355053173426
743.29,30.0,23.7212570668557
682.62,30.0,25.20668721370729
562.88,30.0,24.61492314712263
735.71,30.0,22.91435167239085
580.6,30.0,22.53476131516743
651.67,30.0,23.007117949044932
648.36,30.0,24.100847424079127
678.07,30.0,23.639209996659645
838.7,30.0,23.59888201562959
536.92,30.0,24.4027494377614
693.57,30.0,24.020979717210523
533.44,30.0,23.870028710369386
757.29,30.0,23.086985655913537
651.05,30.0,24.251798430920264
731.23,30.0,24.4027494377614
692.35,30.0,23.811020548083782
737.2,30.0,25.20668721370729
704.38,30.0,22.53476131516743
637.87,30.0,24.127066571891138
597.68,30.0,23.57484223114503
639.22,30.0,23.692931389614408
674.58,30.0,24.13638907406539
754.9,30.0,23.330913943529282
675.25,30.0,24.4027494377614
701.59,30.0,23.468755376464415
695.19,30.0,24.13638907406539
691.24,30.0,24.804718325734346
791.97,30.0,23.969043559987462
737.63,30.0,24.020979717210523
681.19,30.0,23.692931389614408
750.79,30.0,23.9146602318399
665.11,30.0,23.58084338303941
627.64,30.0,23.692931389614408
799.97,30.0,24.470553699899867
616.58,30.0,23.58084338303941
626.97,30.0,23.856955553412465
743.15,30.0,24.804718325734346
784.04,30.0,23.39983465999685
612.12,30.0,23.74486754683747
639.74,30.0,24.269569255913396
705.15,30.0,23.829763889338686
593.35,30.0,23.58084338303941
584.88,30.0,23.692931389614408
683.03,30.0,23.39983465999685
570.68,30.0,23.63688738632691
610.62,30.0,23.58084338303941
796.11,30.0,23.39983465999685
652.45,30.0,23.66285546493844
767.06,30.0,24.19278085438688
576.68,30.0,24.359689278787123
544.72,30.0,24.01127237186278
650.59,30.0,23.886812118713145
560.1,30.0,23.649871425632675
587.01,30.0,23.51836102316188
744.14,30.0,23.79630775719186
639.54,30.0,23.7333256378328
745.43,30.0,24.19278085438688
606.89,26.640110702506263,23.23695441287295
636.39,30.0,23.998288332557017
748.37,30.0,23.829763889338686
603.6,30.0,23.443412919252815
749.3,26.640110702506263,23.23695441287295
576.85,30.0,23.624113392367867
760.08,30.0,23.90379006452732
593.56,30.0,23.886812118713145
764.44,30.0,23.485140025352877
741.05,30.0,23.810068878272972
725.19,30.0,23.998288332557017
724.22,30.0,23.921326140009775
663.46,30.0,23.443412919252815
530.54,30.0,23.720850625904916
724.38,30.0,23.443412919252815
452.28,30.0,23.755462755540506
746.59,30.0,23.443412919252815
602.57,30.0,23.443412919252815
794.75,30.0,23.53376315581034
684.95,30.0,23.886812118713145
740.33,30.0,23.66511251898298
607.81,30.0,23.755462755540506
